Date,Open,High,Low,Settle,Volume,Open Interest
2011-08-19,1143.75,1153.25,1117.5,,3583223.0,3390307.0
2011-08-18,1189.5,1190.0,1128.25,,3809916.0,3363879.0
2011-08-17,1191.75,1206.75,1181.5,,2112805.0,3203678.0
2011-08-16,1196.5,1201.5,1177.5,,2556621.0,3169438.0
2011-08-15,1179.75,1201.75,1176.25,,2002026.0,3367839.0
2011-08-12,1168.25,1186.75,1146.75,,2720118.0,3371749.0
2011-08-11,1123.0,1184.0,1103.0,,4482222.0,3385012.0
2011-08-10,1171.0,1178.75,1113.75,,4925051.0,3446782.0
2011-08-09,1113.0,1175.5,1077.0,,6285917.0,3337317.0
2011-08-08,1167.25,1189.0,1109.5,,6173318.0,3242540.0
2011-08-05,1199.5,1219.0,1163.25,,6160540.0,2938984.0
2011-08-04,1254.25,1264.25,1193.25,,5039775.0,2960288.0
2011-08-03,1248.25,1258.0,1230.25,,3815275.0,2837954.0
2011-08-02,1279.75,1285.0,1246.75,,3293753.0,2786136.0
2011-08-01,1306.0,1309.75,1270.25,,3020191.0,2717702.0
2011-07-29,1297.75,1300.75,1278.5,,2889931.0,2689055.0
2011-07-28,1299.25,1313.0,1295.25,,2338767.0,2633648.0
2011-07-27,1326.0,1328.5,1298.0,,2535676.0,2622989.0
2011-07-26,1333.5,1339.75,1325.5,,1698186.0,2558292.0
2011-07-25,1330.0,1340.25,1322.0,,1640963.0,2567417.0
2011-07-22,1341.25,1347.75,1332.75,,1478170.0,2559590.0
2011-07-21,1321.75,1343.5,1315.0,,2311771.0,2575395.0
2011-07-20,1321.25,1329.75,1319.25,,1637321.0,2594680.0
2011-07-19,1301.5,1324.25,1300.25,,2098625.0,2585860.0
2011-07-18,1314.5,1314.75,1291.25,,2168734.0,2565507.0
2011-07-15,1307.75,1315.5,1300.5,,2298613.0,2547985.0
2011-07-14,1312.25,1323.25,1302.0,,2877782.0,2575806.0
2011-07-13,1310.75,1327.75,1307.25,,2315093.0,2579101.0
2011-07-12,1318.0,1323.25,1295.25,,2888474.0,2589528.0
2011-07-11,1339.25,1339.5,1311.75,,2432258.0,2558138.0
2011-07-08,1351.5,1354.5,1329.25,,2253551.0,2525676.0
2011-07-07,1336.0,1352.75,1335.75,,1678156.0,2502471.0
2011-07-06,1336.0,1340.75,1326.5,,1819425.0,2486568.0
2011-07-05,1334.0,1337.75,1329.25,,1729821.0,2485036.0
2011-07-04,1334.5,1334.75,1328.25,,1955127.0,2468230.0
2011-07-01,1314.75,1336.5,1312.5,,1954616.0,2480842.0
2011-06-30,1304.0,1317.5,1302.25,,1875270.0,2490419.0
2011-06-29,1293.5,1305.5,1291.5,,2489063.0,2484633.0
2011-06-28,1277.0,1295.0,1271.5,,1913881.0,2507415.0
2011-06-27,1265.0,1280.0,1257.0,,2000732.0,2536579.0
2011-06-24,1277.5,1286.0,1261.25,,2499136.0,2575596.0
2011-06-23,1280.0,1280.75,1257.0,,3316080.0,2548765.0
2011-06-22,1287.75,1293.75,1279.5,,1872931.0,2524036.0
2011-06-21,1273.25,1292.75,1271.75,,2075568.0,2531071.0
2011-06-20,1265.0,1275.25,1256.25,,1675608.0,2540173.0
2011-06-17,1269.5,1282.5,1264.25,,33628.0,978781.0
2011-06-16,1266.25,1274.5,1258.0,,165520.0,1120694.0
2011-06-15,1288.75,1289.0,1261.25,,757016.0,1120694.0
2011-06-14,1272.0,1292.5,1270.5,,1067759.0,1300503.0
2011-06-13,1270.0,1277.25,1265.0,,798749.0,1728294.0
